--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
custom_data/test/00007.png	브로콜리                     	0.9747
custom_data/test/00048.png	양배날션로                    	0.1769
custom_data/test/00055.png	툴립                       	0.2488
custom_data/test/00074.png	할미꽃                      	0.9994
custom_data/test/00099.png	우영                       	0.2731
custom_data/test/00101.png	재미                       	0.9989
custom_data/test/00113.png	파프리카                     	0.9986
custom_data/test/00114.png	올리면                      	0.3388
custom_data/test/00129.png	브로콜리                     	0.9992
custom_data/test/00139.png	오이                       	0.9987
custom_data/test/00176.png	툴립                       	0.9213
custom_data/test/00177.png	호박                       	0.8169
custom_data/test/00199.png	낱말                       	1.0000
custom_data/test/00202.png	이어말하는                    	0.9915
custom_data/test/00221.png	오이                       	1.0000
custom_data/test/00266.png	낱말                       	0.7022
custom_data/test/00273.png	배추                       	0.8638
custom_data/test/00275.png	이어말하기                    	0.8821
custom_data/test/00350.png	꼭짓점                      	0.9990
custom_data/test/00359.png	삼각불                      	0.8815
custom_data/test/00366.png	있면                       	0.1198
custom_data/test/00367.png	멍면                       	0.3614
custom_data/test/00372.png	사각                       	0.9968
custom_data/test/00379.png	오각                       	0.9998
custom_data/test/00382.png	밑면                       	1.0000
custom_data/test/00389.png	육각불                      	0.9990
custom_data/test/00396.png	밑면                       	0.9999
custom_data/test/00398.png	각불의형                     	0.3031
custom_data/test/00401.png	모서리                      	0.9994
custom_data/test/00405.png	꼭짓점                      	0.9963
custom_data/test/00410.png	삼각형                      	0.9998
custom_data/test/00414.png	모서리                      	1.0000
custom_data/test/00417.png	삼각형                      	0.6859
custom_data/test/00419.png	꼭짓점                      	0.7885
custom_data/test/00423.png	밑면                       	1.0000
custom_data/test/00428.png	모서리                      	1.0000
custom_data/test/00454.png	사각불                      	0.9475
custom_data/test/00457.png	육각불                      	0.9859
custom_data/test/00474.png	삼각불                      	0.4804
custom_data/test/00476.png	직각불                      	0.6949
custom_data/test/00483.png	각육점                      	0.0359
custom_data/test/00489.png	꼭짓점                      	0.9930
custom_data/test/00500.png	꼭짓점                      	0.9908
custom_data/test/00505.png	각불의꼭형                    	0.1005
custom_data/test/00506.png	사각불                      	0.8393
custom_data/test/00533.png	직사각형                     	0.7728
custom_data/test/00539.png	각불                       	0.5763
custom_data/test/00542.png	삼각형                      	0.9991
custom_data/test/00552.png	직은각궁각각형                  	0.0014
custom_data/test/00558.png	옆면                       	1.0000
custom_data/test/00561.png	직사각형                     	0.8649
custom_data/test/00574.png	높이                       	1.0000
custom_data/test/00582.png	옆면                       	0.5700
custom_data/test/00596.png	모시리                      	0.9997
custom_data/test/00597.png	높이                       	0.9999
custom_data/test/00598.png	높이                       	0.9999
custom_data/test/00605.png	옆면                       	0.9938
custom_data/test/00616.png	꼭짓점                      	0.9957
custom_data/test/00620.png	높이                       	0.9999
custom_data/test/00633.png	다각형                      	0.9939
custom_data/test/00638.png	꼭짓점                      	0.9942
custom_data/test/00639.png	null                     	0.9789
custom_data/test/00654.png	각불                       	0.2638
custom_data/test/00656.png	각기둥합동                    	0.2717
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
custom_data/test/00660.png	다각형                      	1.0000
custom_data/test/00671.png	옆면                       	1.0000
custom_data/test/00678.png	각불                       	0.8881
custom_data/test/00680.png	평행                       	0.9999
custom_data/test/00693.png	수                        	0.6445
custom_data/test/00697.png	옆면                       	0.9971
custom_data/test/00698.png	수직                       	0.9999
custom_data/test/00701.png	밑면                       	1.0000
custom_data/test/00702.png	밑면                       	1.0000
custom_data/test/00706.png	평행                       	0.9445
custom_data/test/00707.png	둥                        	0.5386
custom_data/test/00711.png	n불의리                     	0.0261
custom_data/test/00712.png	꼭짓점                      	0.9850
custom_data/test/00714.png	높이꼭짓점                    	0.9654
custom_data/test/00723.png	옆면                       	0.9999
custom_data/test/00740.png	넘면                       	0.4917
custom_data/test/00741.png	면                        	0.9407
custom_data/test/00744.png	밑                        	1.0000
custom_data/test/00746.png	평행                       	0.9950
custom_data/test/00749.png	각기둥                      	0.9919
custom_data/test/00751.png	합둥다형                     	0.0363
custom_data/test/00764.png	직사각형                     	0.9633
custom_data/test/00768.png	각기둥합동                    	0.6147
custom_data/test/00771.png	삼각형                      	0.9999
custom_data/test/00773.png	꼭짓점                      	0.9996
custom_data/test/00775.png	모서리                      	0.9990
custom_data/test/00791.png	밑면                       	0.9997
custom_data/test/00808.png	옆면                       	0.9999
custom_data/test/00812.png	직사각형                     	0.9120
custom_data/test/00824.png	모서리                      	1.0000
custom_data/test/00841.png	밑면                       	1.0000
custom_data/test/00843.png	각기둥                      	0.9999
custom_data/test/00844.png	평행                       	0.9996
custom_data/test/00849.png	합동                       	0.9755
custom_data/test/00851.png	꼭짓점                      	0.9786
custom_data/test/00872.png	합동                       	0.9999
custom_data/test/00874.png	꼭짓점                      	0.9920
custom_data/test/00877.png	모서리                      	0.9999
custom_data/test/00878.png	높이                       	1.0000
custom_data/test/00880.png	꼭짓점                      	0.9856
custom_data/test/00886.png	직사각형                     	0.9935
custom_data/test/00888.png	밑면                       	1.0000
custom_data/test/00909.png	높이                       	1.0000
custom_data/test/00920.png	최뒷꼭수                     	0.0913
custom_data/test/00929.png	가                        	0.5429
custom_data/test/00939.png	변                        	1.0000
custom_data/test/00941.png	면면                       	0.7367
custom_data/test/00948.png	길이                       	0.9999
custom_data/test/00957.png	토마수                      	0.5390
custom_data/test/00964.png	직각                       	0.9997
custom_data/test/00974.png	길이                       	0.9999
custom_data/test/00994.png	직각길각                     	0.6266
custom_data/test/00996.png	변                        	1.0000
custom_data/test/00999.png	직각삼각형                    	0.5080
custom_data/test/01002.png	직각                       	0.9979
custom_data/test/01031.png	직각                       	0.9990
custom_data/test/01034.png	오우형                      	0.0204
custom_data/test/01054.png	변                        	1.0000
custom_data/test/01055.png	직사각형                     	0.4333
custom_data/test/01058.png	직사각형                     	0.8004
custom_data/test/01064.png	n사합l                     	0.0089
custom_data/test/01080.png	너                        	0.9575
custom_data/test/01084.png	변                        	1.0000
custom_data/test/01096.png	기                        	0.9814
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
custom_data/test/01105.png	나                        	0.4516
custom_data/test/01108.png	나                        	0.4817
custom_data/test/01118.png	꼭짓점                      	0.9998
custom_data/test/01136.png	꼭지짓점                     	0.2603
custom_data/test/01141.png	정사각형                     	0.9390
custom_data/test/01149.png	기                        	0.3598
custom_data/test/01157.png	?                        	0.0908
custom_data/test/01158.png	직각                       	0.7458
custom_data/test/01161.png	꼭짓점                      	0.9906
custom_data/test/01162.png	직사각형                     	0.8635
custom_data/test/01179.png	3                        	0.9997
custom_data/test/01200.png	변                        	1.0000
custom_data/test/01202.png	직사각형                     	0.9902
custom_data/test/01208.png	꼭짓점                      	0.9985
custom_data/test/01215.png	골립                       	0.2298
custom_data/test/01217.png	나                        	0.5755
custom_data/test/01232.png	꼭지점                      	0.6209
custom_data/test/01237.png	직각                       	0.9754
custom_data/test/01238.png	안식선                      	0.9990
custom_data/test/01239.png	기                        	0.9814
custom_data/test/01254.png	직사각형                     	0.7867
custom_data/test/01261.png	각가사기                     	0.1259
custom_data/test/01262.png	정나형                      	0.0771
custom_data/test/01266.png	신                        	0.5213
