--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
./TestImage\result1.png  	동글동그장                    	0.0147
./TestImage\result5.png  	상자모양                     	0.9099
./TestImage\result6.png  	학밤향                      	0.5699
./TestImage\result7.png  	잘씀올수으이다                  	0.0256
./TestImage\result8.png  	여러방향                     	0.9365
./TestImage\result11.png 	등고기(동모다                  	0.2140
./TestImage\result12.png 	상자오양                     	0.4265
./TestImage\result13.png 	동고기동모오양                  	0.0720
./TestImage\result17.png 	동고기(동왕                   	0.0875
./TestImage\result18.png 	상자모양                     	0.6430
./TestImage\result19.png 	공무양                      	0.0702
./TestImage\result23.png 	잘존러징시활)                  	0.0256
./TestImage\result25.png 	기동모양                     	0.4416
./TestImage\result29.png 	동고기(동경)                  	0.0138
./TestImage\result31.png 	상자모만                     	0.2106
./TestImage\result32.png 	공부양                      	0.3788
./TestImage\result34.png 	등징동모등                    	0.0413
./TestImage\result35.png 	그울호                      	0.0414
./TestImage\result52.png 	반연으로생이다                  	0.0348
./TestImage\result57.png 	횡중렉다러러요다                 	0.0002
./TestImage\result59.png 	농(분요거요하다                 	0.0008
./TestImage\result62.png 	훌평꼼경경환환)경)다              	0.0000
./TestImage\result63.png 	탈쩔확북활)그활러그)              	0.0000
./TestImage\result65.png 	힘정환북거북환다                 	0.0000
./TestImage\result66.png 	훌출생학요다                   	0.0007
./TestImage\result67.png 	옛부요요멋요다                  	0.0012
./TestImage\result71.png 	동고모만                     	0.3135
./TestImage\result77.png 	동고기(동올다                  	0.0714
./TestImage\result79.png 	상자모다                     	0.2098
./TestImage\result85.png 	평환경분                     	0.6123
./TestImage\result86.png 	보확학부분                    	0.1922
./TestImage\result87.png 	둥로부분                     	0.1169
./TestImage\result90.png 	불평경환다                    	0.0468
./TestImage\result93.png 	복현환자                     	0.0170
./TestImage\result97.png 	책상자되다                    	0.2724
./TestImage\result98.png 	야주등(동경지경)                	0.0002
./TestImage\result101.png	편평해돈럽다                   	0.0004
./TestImage\result102.png	잘수올스니다                   	0.1585
./TestImage\result103.png	잘끔갑                      	0.2938
./TestImage\result107.png	확등경)경다                   	0.0001
./TestImage\result113.png	괴중애                      	0.0338
./TestImage\result114.png	상징모왕                     	0.4198
./TestImage\result115.png	공플말다                     	0.1058
./TestImage\result126.png	뽑종교)                     	0.1075
./TestImage\result129.png	활이거경다                    	0.0639
./TestImage\result130.png	완쟁등환등님럽생럽요다              	0.0000
./TestImage\result133.png	기독오양                     	0.3905
./TestImage\result135.png	공모인                      	0.5302
./TestImage\result137.png	활림해당경활활)다                	0.0000
./TestImage\result138.png	창평동없어다                   	0.0563
./TestImage\result139.png	출돌해워듯이다                  	0.0599
./TestImage\result142.png	등고기(동모장                  	0.1350
./TestImage\result144.png	상자모만                     	0.4340
./TestImage\result146.png	등글기동모양                   	0.0407
./TestImage\result149.png	상자모왕                     	0.1931
./TestImage\result150.png	공양                       	0.9630
./TestImage\result153.png	행해(경경번러)다                	0.0003
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
./TestImage\result1.png  	동글동그장                    	0.0147
./TestImage\result5.png  	상자모양                     	0.9102
./TestImage\result6.png  	학밤향                      	0.5688
./TestImage\result7.png  	잘씀올수으이다                  	0.0256
./TestImage\result8.png  	여러방향                     	0.9364
./TestImage\result11.png 	등고기(동모다                  	0.2143
./TestImage\result12.png 	상자오양                     	0.4261
./TestImage\result13.png 	동고기동모오양                  	0.0720
./TestImage\result17.png 	동고기(동왕                   	0.0874
./TestImage\result18.png 	상자모양                     	0.6431
./TestImage\result19.png 	공무양                      	0.0703
./TestImage\result23.png 	잘존러징시활)                  	0.0256
./TestImage\result25.png 	기동모양                     	0.4419
./TestImage\result29.png 	동고기(동경)                  	0.0139
./TestImage\result31.png 	상자모만                     	0.2102
./TestImage\result32.png 	공부양                      	0.3792
./TestImage\result34.png 	등징동모등                    	0.0413
./TestImage\result35.png 	그울호                      	0.0413
./TestImage\result52.png 	반연으로생이다                  	0.0348
./TestImage\result57.png 	횡중렉다러러요다                 	0.0002
./TestImage\result59.png 	농(분요거요하다                 	0.0008
./TestImage\result62.png 	훌평꼼경경환환)경)다              	0.0000
./TestImage\result63.png 	탈쩔확북활)그활러그)              	0.0000
./TestImage\result65.png 	힘정환북거북환다                 	0.0000
./TestImage\result66.png 	훌출생학요다                   	0.0007
./TestImage\result67.png 	옛부요요멋요다                  	0.0012
./TestImage\result71.png 	동고모만                     	0.3141
./TestImage\result77.png 	동고기(동올다                  	0.0717
./TestImage\result79.png 	상자모다                     	0.2105
./TestImage\result85.png 	평환경분                     	0.6120
./TestImage\result86.png 	보확학부분                    	0.1919
./TestImage\result87.png 	둥로부분                     	0.1166
./TestImage\result90.png 	불평경환다                    	0.0468
./TestImage\result93.png 	복현환자                     	0.0170
./TestImage\result97.png 	책상자되다                    	0.2729
./TestImage\result98.png 	야주등(동경지경)                	0.0002
./TestImage\result101.png	편평해돈럽다                   	0.0004
./TestImage\result102.png	잘수올스니다                   	0.1581
./TestImage\result103.png	잘끔갑                      	0.2940
./TestImage\result107.png	확등경)경다                   	0.0001
./TestImage\result113.png	괴중애                      	0.0339
./TestImage\result114.png	상징모왕                     	0.4193
./TestImage\result115.png	공플말다                     	0.1062
./TestImage\result126.png	뽑종교)                     	0.1075
./TestImage\result129.png	활이거경다                    	0.0636
./TestImage\result130.png	완쟁등환등님럽생럽요다              	0.0000
./TestImage\result133.png	기독오양                     	0.3916
./TestImage\result135.png	공모인                      	0.5291
./TestImage\result137.png	활림해당경활활)다                	0.0000
./TestImage\result138.png	창평동없어다                   	0.0565
./TestImage\result139.png	출돌해워듯이다                  	0.0598
./TestImage\result142.png	등고기(동모장                  	0.1349
./TestImage\result144.png	상자모만                     	0.4345
./TestImage\result146.png	등글기동모양                   	0.0406
./TestImage\result149.png	상자모왕                     	0.1928
./TestImage\result150.png	공양                       	0.9630
./TestImage\result153.png	행해(경경번러)다                	0.0003
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
./TestImage\result1.png  	동글동그장                    	0.0147
./TestImage\result5.png  	상자모양                     	0.9102
./TestImage\result6.png  	학밤향                      	0.5688
./TestImage\result7.png  	잘씀올수으이다                  	0.0256
./TestImage\result8.png  	여러방향                     	0.9364
./TestImage\result11.png 	등고기(동모다                  	0.2143
./TestImage\result12.png 	상자오양                     	0.4261
./TestImage\result13.png 	동고기동모오양                  	0.0720
./TestImage\result17.png 	동고기(동왕                   	0.0874
./TestImage\result18.png 	상자모양                     	0.6431
./TestImage\result19.png 	공무양                      	0.0703
./TestImage\result23.png 	잘존러징시활)                  	0.0256
./TestImage\result25.png 	기동모양                     	0.4419
./TestImage\result29.png 	동고기(동경)                  	0.0139
./TestImage\result31.png 	상자모만                     	0.2102
./TestImage\result32.png 	공부양                      	0.3792
./TestImage\result34.png 	등징동모등                    	0.0413
./TestImage\result35.png 	그울호                      	0.0413
./TestImage\result52.png 	반연으로생이다                  	0.0348
./TestImage\result57.png 	횡중렉다러러요다                 	0.0002
./TestImage\result59.png 	농(분요거요하다                 	0.0008
./TestImage\result62.png 	훌평꼼경경환환)경)다              	0.0000
./TestImage\result63.png 	탈쩔확북활)그활러그)              	0.0000
./TestImage\result65.png 	힘정환북거북환다                 	0.0000
./TestImage\result66.png 	훌출생학요다                   	0.0007
